id	type	label_de	label_en	parent	comment_de
NI_0000034	Individual	Politik-Wirtschaft			
NI_0000035	Individual	Polnisch			
NI_0000036	Individual	Profil Gesundheit und Soziales			
NI_0000037	Individual	Profil Technik			
NI_0000038	Individual	Profil Wirtschaft			
NI_0000039	Individual	Psychologie			
NI_0000040	Individual	Recht			
NI_0000041	Individual	Russisch			
NI_0000042	Individual	Sachunterricht			
NI_0000043	Individual	Spanisch			
NI_0000044	Individual	Sport			
NI_0000045	Individual	Technik			
NI_0000046	Individual	Textiles Gestalten			
NI_0000047	Individual	Theater / Darstellendes Spiel			
NI_0000048	Individual	Türkisch			
NI_0000049	Individual	Werte und Normen			
NI_0000050	Individual	Wirtschaft			
NW_0000000	Individual	Schulfächer (Nordrhein-Westfalen)			
NW_0000001	Individual	Alevitischer Religionsunterricht			
NW_0000002	Individual	Arbeitslehre			
NW_0000003	Individual	Biologie			
NW_0000004	Individual	Chemie			
NW_0000005	Individual	Chinesisch			
NW_0000006	Individual	Deutsch			
NW_0000007	Individual	Deutsche Gebärdensprache			
NW_0000008	Individual	Englisch			
NW_0000009	Individual	Erdkunde			
NW_0000010	Individual	Ernährungslehre			
NW_0000011	Individual	Erziehungswissenschaft			
NW_0000012	Individual	Evangelische Religionslehre			
NW_0000013	Individual	Französisch			
NW_0000014	Individual	Geographie			
NW_0000015	Individual	Geschichte			
NW_0000016	Individual	Gesellschaftslehre (Erkunde, Geschichte, Politik)			
NW_0000017	Individual	Gesellschaftslehre (Wirtschaft-Politik, Erdkunde, Geschichte)			
NW_0000018	Individual	Griechisch			
NW_0000019	Individual	Hauswirtschaft			
NW_0000020	Individual	Hebräisch			
NW_0000021	Individual	Informatik			
NW_0000022	Individual	Islamischer Religionsunterricht			
NW_0000023	Individual	Italienisch			
NW_0000024	Individual	Japanisch			
NW_0000025	Individual	Jüdische Religionslehre			
NW_0000026	Individual	Katholische Religionslehre			
NW_0000027	Individual	Kunst			
NW_0000028	Individual	Latein			
NW_0000029	Individual	Lateinisch			
NW_0000030	Individual	Literatur			
NW_0000031	Individual	Mathematik			
NW_0000032	Individual	Musik			
NW_0000033	Individual	Naturwissenschaften			
NW_0000034	Individual	Neugriechisch			
NW_0000035	Individual	Niederländisch			
NW_0000036	Individual	Orthodoxe Religionslehre			
NW_0000037	Individual	Philosophie			
NW_0000038	Individual	Physik			
NW_0000039	Individual	Politik			
NW_0000040	Individual	Portugiesisch			
NW_0000041	Individual	Praktische Philosophie			
NW_0000042	Individual	Psychologie			
NW_0000043	Individual	Recht			
NW_0000044	Individual	Russisch			
NW_0000045	Individual	Sachunterricht			
NW_0000046	Individual	Sozialwissenschaften und Sozialwissenschaften/Wirtschaft			
NW_0000047	Individual	Spanisch			
NW_0000048	Individual	Sport			
NW_0000049	Individual	Syrisch-Orthodoxe Religionslehre			
NW_0000050	Individual	Technik			
NW_0000051	Individual	Textilgestaltung			
NW_0000052	Individual	Türkisch			
NW_0000053	Individual	Wirtschaft			
NW_0000054	Individual	Wirtschaft und Arbeitswelt (Wirtschaft, Hauswirtschaft, Technik)			
NW_0000055	Individual	Wirtschaft-Politik			
NW_0000056	Individual	WP Arbeitslehre			
NW_0000057	Individual	WP Biologie			
